x,TH_final,TW_H_final,TW_C_final,TC_final,dT,PH,dp_amb,alpha_i_final,alpha_o_final,Q3,mdot_vec,Tower inlet diameter,Air face velocity,Bu_c,Bu_j,Bu_p
6,310.948426030974,308.185303822161,307.895616841207,302.775639226048,9.41262632496972,7999801.05082412,,1937.18204037217,50.3255015312385,241.683279660373,,,,0.357217177782285,16826.5711043364,0.016768491437109
6.6,310.370922969341,307.901562691925,307.629863710373,302.828252489952,8.65763347165694,7999785.17074259,,2056.63293772542,50.3301213702344,226.676051250757,,,,0.442305975931769,24711.0226376108,0.017667941584084
7.2,309.901033655221,307.716276258769,307.4585202231,302.903778244019,8.01600724574934,7999769.77600651,,2223.96318925845,50.3351958406991,215.043575132299,,,,0.506186294630635,33549.966237099,0.017687638076564
7.8,309.515235980651,307.59814340138,307.351391940702,302.991564059415,7.46690973978809,7999754.83060958,,2441.5166350603,50.3404125664615,205.862555791449,,,,0.54295468708969,42804.2034635008,0.017164657749231
8.4,309.196366545631,307.518625158839,307.280930866335,303.081557971747,6.99703652076266,7999740.30445958,,2701.14942509545,50.3454672332834,198.306240689222,,,,0.56075274376875,52436.6091989355,0.016318316949948
9,308.931239151958,307.462344323349,307.232261815181,303.167749419043,6.59569665075827,7999726.17169604,,2999.49782456139,50.3501673119717,191.955796511477,,,,0.565383829065553,62369.8996203863,0.015290128208594
9.6,308.70945470143,307.420233719973,307.196589871416,303.246152701563,6.25425587200544,7999712.40979074,,3334.83575387014,50.3543785052146,186.584079889514,,,,0.56080527135003,72495.5294809059,0.014174505766395
10.2,308.522624663027,307.386101236869,307.167819601915,303.312373792759,5.96741926057456,7999698.99906402,,3705.22397230664,50.3579245615216,182.110432629883,,,,0.549805514957666,82693.2354575422,0.013045265941273
10.8,308.36376031581,307.354742088929,307.140670674695,303.359784295914,5.73435707943753,7999685.92250297,,4106.1109369361,50.360511128409,178.597882818682,,,,0.534706073218976,92883.720259324,0.011959711774808
11.4,308.226919707707,307.322720037145,307.111742713742,303.385616362753,5.55126293963201,7999673.16561447,,4528.69672480935,50.3620246776864,176.016510317185,,,,0.516908669920099,102965.296940251,0.010970375287699
12,308.106944263866,307.287986490372,307.079348976834,303.394597866899,5.40675832692881,7999660.71590324,,4955.76949384887,50.3627159219247,174.064427768594,,,,0.497086099661973,112783.325662711,0.00878453920064
0,333.11,0,0,0,0,8000000,,0,0,0,,,,0,0,0.00972563180305
0.6,328.345870508794,311.821492497895,311.234985568979,300.843683196518,31.6682391722316,7999975.00557323,,647.655364450575,50.2029211016535,489.31753043452,,,,0.193019360473903,0.00028803280481,0.010823625580591
1.2,324.34799873518,311.06268006337,310.512966245657,300.773891763963,27.2451093152724,7999951.36244563,,750.884319864502,50.204750101934,458.621363982094,,,,0.204605872631895,111.938581449893,0.012216098942423
1.8,321.050955379066,310.300607345065,309.788404255453,300.714320901508,23.5431185135831,7999928.95831464,,862.463533459209,50.2071174385519,427.326496112012,,,,0.222769844897081,491.731022673959,0.014298853789236
2.4,318.373138512823,309.557683479924,309.08279442172,300.67026442455,20.4862392286267,7999907.68111652,,976.382760544997,50.2101321756985,396.195730562302,,,,0.252416313798325,1247.51406446316,0.020426071411876
3,316.229998896983,308.829956472866,308.39231387355,300.640152892406,17.9925723277798,7999887.42109356,,1078.53480358507,50.2137422742121,365.121340173041,,,,0.30703168103815,2619.34099445519,0.025905659750279
3.6,314.573850199004,307.887790099494,307.496539432406,300.566544584321,16.0254221965616,7999868.06247896,,1087.06815501771,50.2166709499578,326.416962473174,,,,0.502704352136786,5768.73142479801,0.026876773950885
4.2,313.262947461958,307.307431609438,306.948378615589,300.589346837817,14.4211506952146,7999849.4975017,,1133.89853063176,50.2219074826085,299.554729173078,,,,0.708696202102239,10436.1002840426,0.026768352933841
4.8,312.191679083648,307.107933872898,306.766007022825,300.711200729934,13.0561072517369,7999831.65275464,,1270.35614997663,50.2294496565259,285.266539266794,,,,0.765940719198612,15427.175458966,0.026014937975306
5.4,311.315984742044,306.994111758384,306.666003278504,300.856834178725,11.8949493562932,7999814.47659615,,1439.18518404505,50.2375811581469,273.737995529321,,,,0.793052850483623,21377.3502386094,0.02479752661933
6,310.60187523666,306.929881194472,306.613548644184,301.013806187156,10.9072455590206,7999797.92416243,,1639.16246111813,50.2459309205141,263.913441891146,,,,0.804241656873638,28340.8682119751,0.023250719444185
